						
						
						
Остатки ТМЦ на складах						
На дату: 24.09.14						
По фирме "Босенко Вероника Николаевна(Основной учет)". По всем юр. лицам. По всем упр. аналитикам. По всем номенклатурным позициям. По складу "Петр.99".						
ТМЦ		Ед.	"Отпускная цена
(руб.)"	Петр.99		
				Кол - во	Сумма	
Полка для обуви широкая черная 5-ярус 1/6		шт	560.00	1.000	560.00	
Сидение для ванной "Лидер" голубое		шт	590.00	1.000	590.00	
Скатерть ZALEL с тефлон.покрытием 150*150 YQL-TB		шт	710.00	7.000	4'970.00	
Скатерть ZALEL с тефлон.покрытием 150*180 YQL-TB		шт	1'050.00	1.000	1'050.00	
Сквозной ролик для кар. (крючок1000шт в кор)		шт	0.50	898.000	449.00	
Стремянка EUROGOLD 2-х,шир.ступ.с резин 3022		шт	1'290.00	1.000	1'290.00	
Стремянка EUROGOLD 3-х,шир.ступ.с резин 3023		шт	1'690.00	1.000	1'690.00	
Сушилка барабанная "ZALEL" (5 веревки) AS1 1/48		шт	490.00	3.000	1'470.00	
Сушилка д/б "Лиана" 2,2 (белая) 5 линий		шт	620.00	1.000	620.00	
Сушилка д/б "Прима" веревочная (7 линий белая)		шт	290.00	2.000	580.00	
Табурет детский гол 06105		шт	240.00	3.000	720.00	
Терка 4-х высота 22см.красная 11327		шт	110.00	3.000	330.00	
Угловая полка для в/к "ZALEL" хром SC-52		шт	640.00	2.000	1'280.00	
Форма из силикона"Сердечки" 6ячеек/"Ракушка"10 ячеек/12 ячеек 16022 / 16002		шт	175.00	9.000	1'575.00	
Чехол для гладильной доски " ДОСЕ " 130*46		шт	190.00	2.000	380.00	
Чехол для гладильной доски " ДОСЕ " 140*52		шт	190.00	3.000	570.00	
Швабра "ZALEL" P-214 плоская насадка микрофибра(бел-син)		шт	280.00	3.000	840.00	
Швабра "ZALEL" P-903R плоская насадка макароны 1/24		шт	280.00	5.000	1'400.00	
Швабра "ZALEL" P-S36C отжимная с вер. нас. хлопок 1/30		шт	280.00	5.000	1'400.00	
Швабра "ZALEL" М-005SB, 1 ролик 1/20		шт	260.00	3.000	780.00	
Швабра "ZALEL" М-010R, 2 ролика 1/20		шт	290.00	3.000	870.00	
Шторы для в/к 100% полиэстер эконом 170*200 роз этикетка		шт	160.00	12.000	1'920.00	
Шторы для ван. комн.полиэстер" ZALEL" 180*200 зел.этик		шт	290.00	10.000	2'900.00	
Шторы для ван. комн.полиэстер" ZALEL" 180*200 зел.этик		шт	340.00	15.000	5'100.00	
Шторы для ван. комн.полиэстер" ZALEL" 180*200 зел.этик		шт	390.00	1.000	390.00	
Шторы для ван. комн.Фотопринт 180*180 синяя этик		шт	330.00	3.000	990.00	
Шторы для ван. комн.Фотопринт 180*180 синяя этик		шт	420.00	2.000	840.00	
В.А.Резина  ремонтная ПОЛОСА		шт	220.00	1.000	220.00	
В.А.Резина  ремонтная ПОЛОСА		шт	245.00	4.000	980.00	
Втулка Аквафор ВП-3 (универсал.)		шт	100.00	1.000	100.00	
Втулка переходная Аквафор ВГК		шт	35.00	1.000	35.00	
Кассета "Барьер-6Ж" (2 шт., умягчение)		шт	425.00	2.000	850.00	
Кассета "Барьер-6Ж" (2 шт., умягчение)		шт	468.00	2.000	936.00	
Кассета "Барьер-6Ж" (3 шт., умягчение)		шт	690.00	4.000	2'760.00	
Модуль ''Аквафор"В200М(стандартный,4000л)		шт	675.00	1.000	675.00	
Модуль ''Аквафор"В200МЖ(стандартный,1000л)		шт	675.00	3.000	2'025.00	
Модуль "Аквафор" А15 (бактериостат+умягчение)		шт	160.00	10.000	1'600.00	
Модуль "Аквафор" А6 (умягчение++)		шт	675.00	4.000	2'700.00	
Модуль "Аквафор" В100-15 (бактериостат.+ умягчение)		шт	150.00	6.000	900.00	
Модуль "Аквафор" В100-15 (комплект 3 шт.)		шт	400.00	3.000	1'200.00	
Модуль "Аквафор" В100-16 (умягчение+)		шт	150.00	2.000	300.00	
Модуль "Аквафор" В100-25 "Максима" (2 шт., бактериостат.+ умягчение)		шт	490.00	5.000	2'450.00	
Модуль "Аквафор" В100-25 "Максима" (бактериостат.+ умягчение)		шт	230.00	2.000	460.00	
Модуль "Аквафор" В100-25 "Максима" (бактериостат.+ умягчение)		шт	250.00	1.000	250.00	
Модуль "Аквафор" В100-5 (2 шт., бакт.добавка + уд.изб.жесткости)		шт	400.00	6.000	2'400.00	
Модуль "Аквафор" В100-5 (бакт.добавка + уд.изб.жесткости)		шт	220.00	2.000	440.00	
Модуль "Аквафор" В100-6 (2 шт., умягчение ++)		шт	420.00	2.000	840.00	
Модуль "Аквафор" В100-6 (3 шт.+1шт в под. )		шт	225.00	10.000	2'250.00	
Модуль "Аквафор" В100-6 (умягчение ++)		шт	225.00	5.000	1'125.00	
Модуль "Аквафор" В100-7 (удаление свободных радикалов)		шт	220.00	5.000	1'100.00	
Модуль "Аквафор" В100-8 (увелич. ресурс по Cl + умягчение)		шт	200.00	3.000	600.00	
Модуль "Аквафор" В100-8 (увелич. ресурс по Cl + умягчение)		шт	220.00	2.000	440.00	
Модуль "Аквафор" В200МЖ (умягчающий, 1000 л.)		шт	675.00	5.000	3'375.00	
Модуль "Аквафор" В300М (стандартный)		шт	165.00	14.000	2'310.00	
Модуль "Аквафор" В300МБ (бактерицидный)		шт	570.00	3.000	1'710.00	
Фильтр "Аквафор Модерн М" (для м/в, В200М)		шт	1'140.00	1.000	1'140.00	
Фильтр "Аквафор Модерн Н" (для ж/в, В200МЖ)		шт	770.00	1.000	770.00	
Фильтр "Барьер-4 Гранд Neo"		шт	590.00	1.000	590.00	
Фильтр "Барьер-Эко"		шт	480.00	1.000	480.00	
Фильтр-кувшин "Аквафор Арт"		шт	430.00	1.000	430.00	
Фильтр-кувшин "Аквафор Атлант"		шт	420.00	1.000	420.00	
Фильтр-кувшин "Аквафор Премиум + модуль В100-5 в подарок"		шт	590.00	1.000	590.00	
Фильтр-кувшин "Аквафор Престиж "		шт	540.00	1.000	540.00	
Фильтр-кувшин "Аквафор Стандарт"		шт	390.00	1.000	390.00	
Фильтр-кувшин "Аквафор Ультра"		шт	490.00	1.000	490.00	
Cветильник на солнеч. батарее Космос 421 (1LED) (90) 4613		шт	160.00	1.000	160.00	
Cветильник на солнеч. батарее Космос В АССОРТ. 27528		шт	225.00	8.000	1'800.00	
Cетевой фильтр Эра SF 6гн 2м белый SF-6es-2m-W		шт	440.00	3.000	1'320.00	
Cетевой фильтр Эра SF 6гн 4м белый 5016		шт	540.00	3.000	1'620.00	
DIN- рейка 225мм (100)		шт	15.00	10.000	150.00	
Domingo Губка для посуды круглая 2шт/уп (24) П 20975		упак	65.00	2.000	130.00	
Domingo Лами Салфетка микрофибра д/пола 50*60  (10)		шт	350.00	1.000	350.00	
Domingo Плюш-Ап Салфетка микрофибра Универсал 35*35 (30)		шт	130.00	2.000	260.00	
Domingo Плюш-Ап Салфетка микрофибра Универсал 35*35 (30)		шт	160.00	7.000	1'120.00	
Domingo Салфетка вискоза  3шт/уп (28) C0101		упак	60.00	7.000	420.00	
Kонтакт  Cуперклей -Гель 3гр   (1*Bl) (80)  Подарок*(014769) =(4607007011235)= 21493		шт	50.00	1.000	50.00	
Авт. выкл. EKF 1P 16A 4,5kA C BA47-63 (12/120) 18326		шт	54.00	1.000	54.00	
Авт. выкл. TDM 2P 16A 4,5kA C BA47-29 (6/60) SQ0206-0093		шт	115.00	4.000	460.00	
Авт. выкл. TDM 2P 20A 4,5kA C BA47-29 (6/60) SQ0206-0094		шт	120.00	4.000	480.00	
Авт. выкл. TDM 2P 32A 4,5kA C BA47-29 (6/60) SQ0206-0096		шт	115.00	2.000	230.00	
Авт. выкл. TDM 2P 40A 4,5kA C BA47-29 (6/60) SQ0206-0097		шт	120.00	5.000	600.00	
Авт. выкл. TDM 2P 50A 4,5kA C BA47-29 (6/60) SQ0206-0098		шт	150.00	6.000	900.00	
Аккумулятор Camelion (R3) - 1000mAh (AAA, NiMh) (24) ж6182		шт	65.00	6.000	390.00	
Аккумулятор Camelion (R3) - 1100mAh (AAA, NiMh) (24) ж7372		шт	70.00	4.000	280.00	
Аккумулятор Camelion (R3) - 300mAh (NiCd) (24) ж3144		шт	40.00	4.000	160.00	
Аккумулятор Camelion (R3) - 600mAh (AAA, NiMh) (24) ж2695		шт	50.00	4.000	200.00	
Аккумулятор Camelion (R3) - 800mAh (AAA, NiMh) (24) ж3674		шт	60.00	6.000	360.00	
Аккумулятор Camelion (R3) - 900mAh (AAA, NiMh) (24) ж5223		шт	60.00	6.000	360.00	
Аккумулятор Camelion (R6) - 1000mAh (AA, NiCd) (24)		шт	75.00	4.000	300.00	
Аккумулятор Camelion (R6) - 800mAh (AA, NiCd) (24)		шт	60.00	4.000	240.00	
Аккумулятор KОСМОС (R 3) - 400 mAh (NIMH) (24) 0144		шт	40.00	2.000	80.00	
Аккумулятор KОСМОС (R 3) - 800 mAh (NIMH) (24) 6658		шт	60.00	1.000	60.00	
Аккумулятор KОСМОС (R 6) - 1500 mAh (NIMH) (24)		шт	96.00	1.000	96.00	
АНТИПЯТИН Мыло-пятновыводитель д/белых вещей (32) 30125		шт	25.00	14.000	350.00	
АНТИПЯТИН Мыло-пятновыводитель д/белых вещей (32) 30125		шт	37.00	28.000	1'036.00	
АНТИПЯТИН Мыло-пятновыводитель для детских вещей (32) А0670		шт	30.00	5.000	150.00	
АНТИПЯТИН отбеливатель для белых вещей с OXI и энзимами 120грамм (20) А0671		шт	40.00	9.000	360.00	
АТАКА  детские пластины /МИГАН пластины от комаров 10шт		шт	10.00	11.000	110.00	
АТАКА СПРЕЙ 100мл / ХАМЕЛЕОН спирали от  комаров		шт	50.00	2.000	100.00	
Батарейка Camelion 2016 (5*Bl, 3V) (50)		шт	15.00	13.000	195.00	
Батарейка Camelion 2025 (5*Bl, 3V) (50)		шт	20.00	13.000	260.00	
Батарейка Camelion G13 (357, LR1154, LR44)  (10/100)		шт	5.00	1.000	5.00	
Батарейка Duracell 23 A (1*Bl) (MN21) (10/100)		шт	110.00	2.000	220.00	
Батарейка Duracell 27 A (MN27)		шт	170.00	3.000	510.00	
Батарейка Duracell LR 3 (2*Bl) Turbo (20/60)		шт	45.00	2.000	90.00	
Батарейка Duracell LR 3 (8*Bl) Basic (80)		шт	30.00	1.000	30.00	
Батарейка Duracell LR 3 (8*Bl) Basic (80)		шт	35.00	1.000	35.00	
Батарейка Duracell LR 6 (12*Bl) Basic (12/144)		шт	40.00	8.000	320.00	
Батарейка Duracell LR 6 (4*Bl) Basic (80/240) 75062708		шт	35.00	1.000	35.00	
Батарейка Energizer LR 3 (2*Bl) (24/1776) 629737		шт	32.00	1.000	32.00	
Батарейка Energizer LR 3 (4*Bl) (48/3552) 0171		шт	30.00	37.000	1'110.00	
Батарейка Energizer LR 6 (4*Bl) (96/3072) 0215		шт	30.00	23.000	690.00	
Батарейка Energizer LR20 (2*Bl) (24/552)		шт	100.00	6.000	600.00	
