						
						
						
Остатки ТМЦ на складах						
На дату: 24.09.14						
По фирме "Босенко Вероника Николаевна(Основной учет)". По всем юр. лицам. По всем упр. аналитикам. По всем номенклатурным позициям. По складу "Петр.99".						
ТМЦ		Ед.	"Отпускная цена
(руб.)"	Петр.99		
				Кол - во	Сумма	
Отвертка-индикатор Фаза GK3 (20) 28645		шт	240.00	1.000	240.00	
Отвертки набор 8032 (32в1, телекомуникацион.) (120) 26146		шт	185.00	1.000	185.00	
Отвертки набор PROFI YX-8017B (29в1, телекомуникацион.) (12) 5397		шт	285.00	1.000	285.00	
Отвертки часовые набор PROFI 12в1 (10) 17491		шт	240.00	1.000	240.00	
Отвес конусный, 200гр Headman 684017		шт	95.00	1.000	95.00	
Отвёртка Энергомаш крестовая Expert (Рh 1*200 мм, Cr-V, двухкомп. ручка) 10400-02-PH1 142120		шт	50.00	1.000	50.00	
Отвёртка Энергомаш крестовая Expert (Рh 2*38 мм, Cr-V, двухкомп. ручка) 10400-02-PH2- 142238		шт	40.00	1.000	40.00	
Отвёртка Энергомаш шлицевая Expert (SL 6*150 мм, Cr-V, двухкомп. ручка) 10400-02-SL6- 142615		шт	50.00	1.000	50.00	
Отвёртка Энергомаш шлицевая Expert (SL 8*150 мм, Cr-V, двухкомп. ручка) 10400-02-SL8- 142815		шт	65.00	1.000	65.00	
Отвёртка Энергомаш шлицевая Expert (SL 8*200 мм, Cr-V, двухкомп. ручка) 10400-02-SL8- 142820		шт	70.00	1.000	70.00	
Очки защитные открытого типа, затемненные, ударопрочный поликарбонат, бок, и верх, за 686347		шт	90.00	2.000	180.00	
Пассатижи 150мм с диэлектрическими рукоятками 1000V Sturm 1020-03-1-150 326310		шт	210.00	1.000	210.00	
Пассатижи 200мм с диэлектрическими рукоятками 1000V Sturm 1020-03-1-200 264334		шт	300.00	1.000	300.00	
Пассатижи 250мм многоцелевые Sturm 1020-09-250 264303		шт	360.00	1.000	360.00	
Пассатижи комбинированные PROFI 150мм с двухцветной ручкой ЕРМАК 661004		шт	295.00	2.000	590.00	
Пассатижи комбинированные PROFI 160мм Ермак 661203		шт	180.00	1.000	180.00	
Пассатижи комбинированные PROFI 180мм Ермак 661208		шт	220.00	1.000	220.00	
Пассатижи комбинированные PROFI 200мм Ермак 661209		шт	220.00	1.000	220.00	
Пассатижи комбинированные шлифованные 160 мм 661009		шт	95.00	1.000	95.00	
Пассатижи комбинированные шлифованные 180 мм 661010		шт	115.00	2.000	230.00	
Пассатижи комбинированные шлифованные 200 мм 661011		шт	130.00	2.000	260.00	
Пассатижи комбинированые 160мм (SL) с двухцветной ручкой ЕРМАК 661227		шт	180.00	1.000	180.00	
Пассатижи мини с двухцветной ручкой ЕРМАК 661024		шт	160.00	1.000	160.00	
Пассатижи с двойным рычажным механизмом 200мм (Cr-V) ЕРМАК Эксперт 661056		шт	380.00	1.000	380.00	
Пилки для эл.лобзика (Bi-metal EU 51х2мм.) T-118BF, 5шт. ЕРМАК 664054		шт	105.00	2.000	210.00	
Пилки для эл.лобзика (HCS EU 51х1,4мм.) T-101АО (дер., ламинат.,фиг.рез.) ЕРМАК 664355		шт	30.00	3.000	90.00	
Пилки для эл.лобзика (HCS EU 51х1,4мм.) T-101АО (дер., ламинат.,фиг.рез.) ЕРМАК 664355		шт	140.00	1.000	140.00	
Пилки для эл.лобзика (HCS EU 75х2,5мм.) T-101В (дер., ламин.,точн.рез.), 5шт. ЕРМАК 664313		шт	150.00	2.000	300.00	
Пилки для эл.лобзика 118A pro (Diamond, для стекла/кафеля, аналог  Bosch T 130 Riff, 101195		шт	25.00	2.000	50.00	
Пилки для эл.лобзика набор ( HSS/HCS) 5шт.(T-SET) ЕРМАК 664030		шт	140.00	2.000	280.00	
Пилки для эл.лобзика набор (HSS/HCS, для дерева, металла, дсп, пластика, набор 10шт в 025092		упак	210.00	1.000	210.00	
Пилки для электролобзика ( HCS EU 51*2мм) Т-119В 5шт на блистере. 664312		шт	80.00	1.000	80.00	
Пилки для электролобзика ( HCS EU 51*2мм) Т-119ВО 5шт на блистере 664272		шт	75.00	1.000	75.00	
Пилки для электролобзика ( HCS EU 51*2мм) Т-119ВО 5шт на блистере 664272		шт	80.00	1.000	80.00	
Пилки для электролобзика ( HCS EU 75*3мм) Т-111С 5шт на блистере 664293		шт	75.00	1.000	75.00	
Пилки для электролобзика ( HCS EU 75*4мм) Т-244D 5пр Ермак 664339		шт	110.00	2.000	220.00	
Пистолет для герметика 225 мм GUNSK скелетный 357003 449754		шт	150.00	3.000	450.00	
Пистолет для герметика с мет. фиксатором 225мм полукорп. HEADMAN 684020		шт	105.00	1.000	105.00	
Пистолет для герметика с мет. фиксатором 225мм скелетн. Headman 684021		шт	100.00	2.000	200.00	
Пистолет для герметика усиленный с мет. фиксатором 225мм скелетный Headman 684015		шт	170.00	2.000	340.00	
Пистолет клеевой 15Вт (48) 17315		шт	150.00	2.000	300.00	
Пистолет клеевой 60Вт (48) 16071		шт	255.00	1.000	255.00	
Пленка защитная 4*12.5 м, ПНД, 4WALLS 20726		шт	130.00	1.000	130.00	
Пленка укрывная с малярной лентой 0.55 м х 33 м, UNIBOB 669303		шт	200.00	1.000	200.00	
Плоскогубцы переставные 160мм,с обр. ручками 661017		шт	60.00	2.000	120.00	
Полотна (2 шт.) для ножовки по металлу 300мм., 24TPI (Bi-Metall) ЕРМАК "Эксперт" 663049		шт	110.00	1.000	110.00	
Полотна (2 шт.) для ножовки по металлу 300мм., 32TPI (HSS) ЕРМАК "Эксперт" 663047		шт	110.00	1.000	110.00	
Полотно для ножовки по металлу Sturm (2шт.) 9019-02-BIM-300 268783		упак	85.00	1.000	85.00	
Полотно ножевочное 300мм закал зуб (100шт.) 663691		шт	10.00	13.000	130.00	
Полотно ножовочное проволочное с вольфрамовым покрытием 300мм 702009		шт	110.00	1.000	110.00	
Припой с канифолью 10 гр. 1.0мм (20) 16069		шт	45.00	2.000	90.00	
Просекатель для металлического профиля под гипсокартон FALCO 648003		шт	435.00	1.000	435.00	
Рашпиль круглый Sturm 300мм двухкомп. рукоятка 1050-05-300A 034162		шт	160.00	1.000	160.00	
Рашпиль овальный Sturm 300мм двухкомп. рукоятка 1050-05-300C 034209		шт	190.00	1.000	190.00	
Резец по дереву плоский нож (без ручки) 702014		шт	415.00	1.000	415.00	
Резец по дереву полукруг бол.  гнутый (без ручки) 702010		шт	415.00	1.000	415.00	
Резец по дереву полукруг бол.  прямой (без ручки) 702011		шт	415.00	1.000	415.00	
Резец по дереву полукруг мал.  прямой (без ручки) 702012		шт	415.00	1.000	415.00	
Ролик сменный для валика "ВЕЛЮР" шерсть/синтетика 180/d8 Headman 681005		шт	100.00	1.000	100.00	
Ролик сменный для валика "ПОРОЛОН" 180/d8 Headman 681007		шт	110.00	1.000	110.00	
Ролик сменный для валика "ТИГР" полиакрил 180мм, D48мм, ворс 12мм, ось 8мм HEADMAN 681032		шт	85.00	1.000	85.00	
Рулетка 10М 2 фиксатора ЕРМАК 658023		шт	325.00	2.000	650.00	
Рулетка 2м "Луноход" РФ4-2-16 11203 ЭНКОР 011203		шт	85.00	1.000	85.00	
Рулетка 3м "Луноход" РФ4-3-16 11204 ЭНКОР 011204		шт	105.00	1.000	105.00	
Рулетка 5м " Магнит", 3 фиксатора, обрезин. корпус ЕРМАК 658019		шт	120.00	1.000	120.00	
Рулетка 5м "Луноход" РФ4-5-19 11205 ЭНКОР 011205		шт	175.00	2.000	350.00	
Рулетка 5м "Наутилус" РФ9-5-19 10166 ЭНКОР 064806		шт	130.00	1.000	130.00	
Рулетка 5М 3 фиксатора, "Желтая" ЕРМАК 658142		шт	105.00	1.000	105.00	
Рулетка 5М 3 фиксатора, "Черная" ЕРМАК 658145		шт	105.00	1.000	105.00	
Рулетка 5м х25мм "Энергомаш" с намагниченным наконечником обрезиненный корпус 20100-0 266697		шт	145.00	1.000	145.00	
Рулетка 7,5м карманная PLUS (7,5м х 25мм) автостоп FALCO 658011		шт	200.00	1.000	200.00	
Рулетка 7,5м, "Магнит", 3 фиксатора, обрезин. корпус ЕРМАК 658020		шт	275.00	1.000	275.00	
Рулетка 7.5М 3 фиксатора, "Черная" ЕРМАК 658146		шт	230.00	1.000	230.00	
Рулетка Jobi 2м 658730		шт	55.00	1.000	55.00	
Самоклеящаяся лента 50мм*10м AVIORA (32) 12851		шт	140.00	1.000	140.00	
Саморез кровельный с шестиганной головкой 4,8х28 оцинкованый 146209		шт	2.00	500.000	1'000.00	
Саморез кровельный с шестиганной головкой 4,8х51 оцинкованый 146208		шт	2.00	6.000	12.00	
Саморез кровельный с шестиганной головкой 5,5х19 оцинкованый 146207		шт	2.00	256.000	512.00	
Сверло для конфирматов 4мм. 702004		шт	120.00	2.000	240.00	
Сверло для конфирматов 5мм. 702005		шт	120.00	1.000	120.00	
Сверло по бетону 10х120мм ЕРМАК 649-022 383942		шт	30.00	1.000	30.00	
Сверло по бетону 12х200мм FALCO 649139		шт	60.00	1.000	60.00	
Сверло по бетону 6х100мм, с трехгр. хвостовиком FALCO PROFI 649142		шт	30.00	6.000	180.00	
Сверло по бетону 6х200мм цилиндр. хвостовик 649037		шт	40.00	4.000	160.00	
Сверло по бетону 8х120мм ЕРМАК 649021		шт	50.00	2.000	100.00	
Сверло по дереву перовое 45х152мм FALCO 649174		шт	95.00	1.000	95.00	
Сверло по дереву перовое 45х152мм. ЕРМАК 649236		шт	115.00	1.000	115.00	
Сверло по керамике и стеклу 10 мм 649125		шт	95.00	1.000	95.00	
Сверло по керамике и стеклу 4 мм 649093		шт	55.00	2.000	110.00	
Сверло по керамике и стеклу 5мм с шестигранным хвостовиком ЕРМАК 649031		шт	45.00	2.000	90.00	
Сверло по керамике и стеклу 6мм FALCO STANDARD 649180		шт	60.00	2.000	120.00	
Сверло по керамике и стеклу 6мм с шестигранным хвостовиком FALCO STANDARD 649186		шт	60.00	3.000	180.00	
Сверло по керамике и стеклу 6мм с шестигранным хвостовиком ЕРМАК 649032		шт	85.00	2.000	170.00	
Сверло по керамике и стеклу 8мм с шестигранным хвостовиком ЕРМАК 649033		шт	70.00	2.000	140.00	
Сверло по металлу 1,0мм. PROFI Р6М5 (класс точности В) 3шт. FALCO 649102		шт	25.00	1.000	25.00	
Сверло по металлу 1,0мм. PROFI Р6М5 (класс точности В) 3шт. FALCO 649102		шт	30.00	2.000	60.00	
Сверло по металлу 1,5мм. Р 6 М5 649038		шт	5.00	5.000	25.00	
Сверло по металлу 10,5мм Р 6 М5 649184		шт	65.00	2.000	130.00	
Сверло по металлу 12,5мм Р 6 М5 649071		шт	75.00	4.000	300.00	
Сверло по металлу 2,5мм Р 6 М5 649044		шт	10.00	19.000	190.00	
Сверло по металлу 2,6мм Р 6 М5 649045		шт	6.00	4.000	24.00	
Сверло по металлу 3,5мм Р 6 М5 649050		шт	8.00	1.000	8.00	
Сверло по металлу 3,5мм Р 6 М5 649050		шт	10.00	12.000	120.00	
Сверло по металлу 4,5мм Р 6 М5 649056		шт	12.00	10.000	120.00	
Сверло по металлу 4,7мм Р 6 М5 649192		шт	12.00	19.000	228.00	
Сверло по металлу 4,8мм Р 6 М5 649057		шт	15.00	16.000	240.00	
Сверло по металлу 5,5мм. Р 6 М5 649060		шт	15.00	12.000	180.00	
Сверло по металлу 6,5мм Р 6 М5 649063		шт	21.00	7.000	147.00	
Сверло по металлу 7,0мм 649064		шт	25.00	11.000	275.00	
Сверло по металлу 7,5мм Р 6 М5 649065		шт	25.00	16.000	400.00	
Сверло по металлу 8,5мм Р 6 М5 649067		шт	45.00	5.000	225.00	
Сверло по металлу 9,0мм Р 6 М5 649068		шт	40.00	7.000	280.00	
Сверло по металлу 9,5мм Р 6 М5 649069		шт	40.00	4.000	160.00	
Сверло по металлу кобальтовое 1,0мм DIN 338 CO 702015		шт	20.00	2.000	40.00	
Сверло по металлу кобальтовое 1,5мм DIN 338 CO 702017		шт	20.00	1.000	20.00	
Сверло по металлу кобальтовое 12,5мм DIN 338 CO 702022		шт	410.00	1.000	410.00	
Сверло по металлу кобальтовое 2,0мм DIN 338 CO 702016		шт	25.00	1.000	25.00	
Сверло по металлу кобальтовое 3,0мм DIN 338 CO 702023		шт	35.00	2.000	70.00	
Сверло по металлу кобальтовое 7,0мм DIN 338 CO 702020		шт	135.00	1.000	135.00	
Сверло по металлу кобальтовое 8,0мм DIN 338 CO 702021		шт	200.00	1.000	200.00	
Сверло по металлу, 3,0 мм, полированное, HSS, 10 шт. цилиндрический хвостовик// Matri 71530		шт	10.00	4.000	40.00	
Сверло по металлу, 3,5 мм, полированное, HSS, 10 шт. цилиндрический хвостовик// Matri 71535		шт	8.00	11.000	88.00	
Сверло шнековое 20мм длина 230мм FALCO 649046		шт	235.00	1.000	235.00	
Сверло шнековое 25мм длина 230мм FALCO 649052		шт	360.00	1.000	360.00	
Секатор Sturm ручной садовый 3012-02-AP 301222		шт	263.00	1.000	263.00	
Секатор Sturm ручной садовый 3012-03-TP 301202		шт	315.00	1.000	315.00	
Сетка абразивная /корунд/ 115х280 Р100 (цена за 10шт) 645180		шт	85.00	1.000	85.00	
Сетка абразивная /корунд/ 115х280 Р120 (цена за 10шт) 645051		шт	65.00	4.000	260.00	
Сетка абразивная /корунд/ 115х280 Р120 (цена за 10шт) 645051		шт	85.00	1.000	85.00	
Сетка абразивная /корунд/ 115х280 Р40 (цена за 10шт) FALCO 645110		шт	100.00	1.000	100.00	
Сетка абразивная /корунд/ 115х280 Р60 (цена за 10шт) 645049		шт	45.00	4.000	180.00	
Сетка абразивная /корунд/ 115х280 Р60 (цена за 10шт) 645049		шт	85.00	1.000	85.00	
Сетка абразивная /корунд/ 115х280 Р80 645050		шт	10.00	2.000	20.00	
Сетка абразивная /корунд/ 115х280 Р80 (цена за 10шт) 645050		шт	65.00	4.000	260.00	
Сетка абразивная /корунд/ 115х280 Р80 (цена за 10шт) 645050		шт	85.00	1.000	85.00	
Сеткодержатель на винтах КОАН1008 (105*230) 645105		шт	145.00	2.000	290.00	
Скобы закаленные 10мм (10,6х1,2мм) для мебельного степлера 1000шт. ЕРМАК 648044		шт	95.00	3.000	285.00	
Скобы закаленные 10мм (11,3*0,7мм) для мебельного степлера 1000шт. ЕРМАК 648035		шт	85.00	2.000	170.00	
Скобы закаленные 12мм (10,6х1,2мм) для мебельного степлера 1000шт. ЕРМАК 648045		шт	105.00	2.000	210.00	
Скобы закаленные 12мм (11,3*0,7мм) для мебельного степлера 1000шт. ЕРМАК 648036		шт	100.00	3.000	300.00	
Скобы закаленные 14мм (10,6х1,2мм) для мебельного степлера 1000шт. ЕРМАК 648047		шт	110.00	3.000	330.00	
Скобы закаленные 14мм (11,3х0,7мм) для мебельного степлера 1000шт. ЕРМАК 648037		шт	110.00	2.000	220.00	
Скобы закаленные 6мм (10,6х1,2мм) для мебельного степлера 1000шт. ЕРМАК 648040		шт	75.00	2.000	150.00	
Скобы закаленные 6мм (11,3*0,7мм) для мебельного степлера 1000шт. ЕРМАК 648032		шт	70.00	2.000	140.00	
Скобы закаленные 8мм (10,6х1,2мм) для мебельного степлера 1000шт. ЕРМАК 648043		шт	90.00	3.000	270.00	
Скобы закаленные 8мм (11,3х0,7мм) для мебельного степлера 1000шт. ЕРМАК 648033		шт	80.00	2.000	160.00	
Стамеска Sturm прямая (28 мм) 1063-01-28 013867		шт	215.00	1.000	215.00	
Стамеска Sturm прямая (32 мм) 1063-01-32 011177		шт	230.00	2.000	460.00	
Стамеска обрезинен. ручка 25мм (Cr-V) FALCO PROFI 667018		шт	120.00	1.000	120.00	
Стамеска-долото обрезинен ручка 25мм Ермак 667051		шт	210.00	1.000	210.00	
Стамеска-долото обрезинен ручка 32мм ЕРМАК 667052		шт	235.00	1.000	235.00	
Стеклорез 6-роликовый Sturm (ударопрочная пластиковая рукоятка) 1077-RO-01 269063		шт	80.00	2.000	160.00	
Стеклорез TCG0003 6-ти роликовый (в кор 220шт) 669156		шт	80.00	2.000	160.00	
Степлер Sturm ручной регулируемый (4-14мм, типы T,U,H, кейс+скобы) 1071-01-S1 171011		шт	540.00	1.000	540.00	
Степлер мебельный (4-8мм)х11,3мм Ермак 648017		шт	425.00	1.000	425.00	
Степлер мебельный 4-х функц. регулируемый (4-14мм)х10,6мм Ермак 648001		шт	690.00	1.000	690.00	
Степлер мебельный 4-х функцион.(6-14мм)х10,6мм Ермак 648015		шт	845.00	1.000	845.00	
Степлер мебельный пластик (6-14мм)х10,6мм. 4-х функцион.Ермак 648022		шт	580.00	1.000	580.00	
Степлер мебельный регулируемый (4-14мм)х11,3мм.  Ермак 648016		шт	555.00	1.000	555.00	
Струбцина G-тип 1" ЕРМАК 668021		шт	35.00	2.000	70.00	
Струбцина G-тип 2" ЕРМАК 668022		шт	70.00	2.000	140.00	
Струбцина G-тип 3" ЕРМАК 668023		шт	110.00	2.000	220.00	
Съемник стопорных колец CP-401 ЕРМАК 653247		шт	280.00	1.000	280.00	
Термометр Мини, с магнитом, пластик, блистер (3 цвета в ассортименте) 473039		шт	55.00	1.000	55.00	
Тиски 80 мм 668190		шт	375.00	1.000	375.00	
Тиски слесарные Sturm 125мм 1075-04-125 265881		шт	2'430.00	1.000	2'430.00	
Тиски слесарные с поворотным механизмом 100мм 668009		шт	1'225.00	1.000	1'225.00	
Тиски слесарные с поворотным механизмом 100мм 668009		шт	1'605.00	1.000	1'605.00	
Тиски слесарные с поворотным механизмом 150мм 668013		шт	3'435.00	1.000	3'435.00	
Тонкогубцы мини изогнутые с двухцветной ручкой ЕРМАК 661026		шт	165.00	1.000	165.00	
Тонкогубцы шлифованные 160мм ЕРМАК 661874		шт	114.00	1.000	114.00	
Тонкогубцы шлифованные 200мм ЕРМАК 661875		шт	160.00	1.000	160.00	
Точилка для заточки ножей, ножниц 164645		шт	70.00	2.000	140.00	
Точилка для режущих предметов, универсальная (50) 23402		шт	70.00	3.000	210.00	
Трос металл., для прочистки труб 6мм х5м 669386		шт	300.00	2.000	600.00	
Уголок-линейка 20*30см ЕРМАК 659102		шт	90.00	1.000	90.00	
Уголок-линейка 40*60см ЕРМАК 659103		шт	200.00	1.000	200.00	
Удлинитель перовых сверел 152мм ЭНКОР 19118 001879		шт	120.00	1.000	120.00	
Удлинитель перовых сверел 406мм ЭНКОР 19120 418160		шт	180.00	1.000	180.00	
Унисма-1 WD-40 автосредство СИБИАР 190/300 мл /24/ 105056		шт	80.00	1.000	80.00	
Уплотнитель резиновый P-профиль 6м AVIORA 302-079 (30) 12852		шт	165.00	1.000	165.00	
Уровень строительный алюминевый-40см Ермак 659093		шт	240.00	1.000	240.00	
Уровень строительный алюминевый-60см Ермак 659094		шт	405.00	1.000	405.00	
Уровень строительный магнитный Sturm 225мм 2015-01-M225 011396		шт	75.00	1.000	75.00	
Устройство для заточки ножей  Sturm   # 1076-05-BG 031826		шт	145.00	1.000	145.00	
Хомут 20-32 мм оцинкованный 788004		шт	18.00	1.000	18.00	
Хомут 20-32 мм оцинкованный 788004		шт	20.00	10.000	200.00	
Хомут 50-62 мм оцинкованный 788014		шт	21.00	2.000	42.00	
Хомут NORMA 16-27 мм (№-1627) 799014		шт	27.00	3.000	81.00	
Хомут NORMA 30-45 мм (№-3045) 799009		шт	30.00	7.000	210.00	
Чехол для мультиметра М 830-серия желтый 16407		шт	56.00	1.000	56.00	
ШИЛО большое с пласт. ручкой 107933		шт	45.00	1.000	45.00	
ШИЛО с крючком дерев,ручка (сапожное) 107688		шт	35.00	1.000	35.00	
Шлиф круг резиновый с липучкой+переходник 125мм 645161		шт	115.00	1.000	115.00	
Шлиф. лента 76*533 Sturm ("100") 10 шт. 9010-В76*533-100 012846		упак	250.00	1.000	250.00	
Шлиф. лента 76*533 Sturm ("40") 10 шт. 9010-B76*533-040 012815		упак	260.00	2.000	520.00	
Шнур разметочный 30м ЕРМАК 648002		шт	75.00	1.000	75.00	
Шпатель  Sturm  100 мм  # 8051-01-100 016199		шт	60.00	1.000	60.00	
Шпатель Sturm 150мм 8051-01-150 268875		шт	85.00	1.000	85.00	
Шпатель Sturm 200мм 8051-01-200 268882		шт	95.00	1.000	95.00	
Шпатель Sturm 300мм 8051-01-300 268905		шт	135.00	1.000	135.00	
Шпатель металл., пластиковая ручка 150мм, зуб 8х8мм 641250		шт	50.00	1.000	50.00	
Шпатель нерж, пластиковая ручка 150мм Headman 683020		шт	100.00	1.000	100.00	
Шпатель нерж, пластиковая ручка 200мм HEADMAN 683021		шт	100.00	1.000	100.00	
Шпатель прижимной пластмассовый 280мм Headman 683015		шт	75.00	2.000	150.00	
Шпатель с деревянной ручкой 100мм Headman 683016		шт	40.00	2.000	80.00	
Шпатель с деревянной ручкой 50мм Headman 683026		шт	15.00	1.000	15.00	
Шпатель с деревянной ручкой 60мм Headman 683017		шт	20.00	2.000	40.00	
Шпатель с деревянной ручкой 80мм Headman 683018		шт	30.00	2.000	60.00	
Шпуля STURM для электротриммера GT3535L (только катушка с леской!) GT3535L - 999 003535		шт	210.00	2.000	420.00	
Штангенциркуль 125мм МТ001 ШЦ-I-125-0,1-1 660033		шт	570.00	1.000	570.00	
Штангенциркуль 150мм в пластиковой коробке 660006		шт	495.00	1.000	495.00	
Штробер SDS-plus 14*250мм Ермак 654210		шт	135.00	1.000	135.00	
Щетка металл для УШМ 100мм/М14 крученная (чашка) ЕРМАК 656047		шт	190.00	1.000	190.00	
Щетка металл для УШМ 115мм/М14 (тарелка) Ермак 656042		шт	125.00	1.000	125.00	
Щетка металл для УШМ 115мм/М14 крученная (тарелка) Ермак 656076		шт	145.00	1.000	145.00	
Щетка металл для УШМ 125мм/М14 (тарелка) Ермак 656043		шт	170.00	1.000	170.00	
Щетка металл для УШМ 125мм/М14 (чашка) ЕРМАК 656039		шт	251.00	1.000	251.00	
Щетка металл для УШМ 125мм/М14 крученая (тарелка) ЕРМАК 656075		шт	185.00	1.000	185.00	
Щетка металл для УШМ 125мм/М14 крученная (чашка) ЕРМАК 656046		шт	237.00	1.000	237.00	
Щетка металл для УШМ 150мм/22мм, крученая, дисковая ЕРМАК 656051		шт	210.00	1.000	210.00	
Щетка металл для УШМ 150мм/22мм, плоская FALCO STANDARD 656011		шт	120.00	1.000	120.00	
Щетка металл для УШМ 150мм/М14 (чашка) ЕРМАК 656040		шт	270.00	1.000	270.00	
Щетка металл для УШМ 150мм/М14 крученная (чашка) Ермак 656048		шт	270.00	1.000	270.00	
Щетка металл для УШМ 200мм/22мм плоская Ермак 656058		шт	190.00	1.000	190.00	
Щетка металл для УШМ 65мм/М14 (чашка) Ермак 656036		шт	85.00	1.000	85.00	
Щетка металл для УШМ 65мм/М14 крученная (чашка) Ермак 656044		шт	114.00	1.000	114.00	
Щетка металл для УШМ 75мм/М14 (чашка) Ермак 656037		шт	85.00	1.000	85.00	
Щетка металл для УШМ 75мм/М14 крученная (чашка) Ермак 656045		шт	140.00	1.000	140.00	
Щетка металл для УШМ 85мм/М14 крученная (тарелка) Ермак 656073		шт	75.00	1.000	75.00	
Щетка металл для УШМ HEAVY DUTY 100мм/М14 (чашка) Ермак 656061		шт	272.00	1.000	272.00	
Щетка металл строительная, ручка пластик 656616		шт	50.00	4.000	200.00	
Щетка металл. с пластик. ручкой, 4-х рядная ЕРМАК 656070		шт	60.00	2.000	120.00	
Щетка металл. со шпилькой для дрели 50мм (Чашка) 656025		шт	45.00	1.000	45.00	
Щетка металл. со шпилькой для дрели 65мм, крученая (чашка) 656023		шт	120.00	2.000	240.00	
Щетка металл. со шпилькой для дрели 75мм, крученая (чашка) 656024		шт	130.00	1.000	130.00	
Щуп для мультиметра Мастер М 83* (1/500) 15029		шт	50.00	1.000	50.00	
Электропаяльник бытовой 100W (дерев. ручка) (100) 20624		шт	150.00	1.000	150.00	
Электропаяльник бытовой 65W(дер.руч) 19357		шт	135.00	1.000	135.00	
Ящик для инструментов Sturm 16" TBPROF16 усилен. ударопрочн. пластик, органайзеры+кон 025580		шт	675.00	1.000	675.00	
Ящик для инструментов Sturm 18" TBPROF18 усилен. ударопрочн. пластик, органайзеры+кон 025597		шт	1'100.00	1.000	1'100.00	
Ящик для инструментов Sturm 18" TBPROF218 усилен. ударопрочн. пластик, линейка на кры 034124		шт	755.00	1.000	755.00	
Ящик для инструментов Sturm 18" TBPROF318 усилен. ударопрочн. пластик, миниорганайзер 034148		шт	1'035.00	1.000	1'035.00	
Ящик для инструментов Sturm 21" TBPROF221 усилен. ударопрочн. пластик, линейка на кры 034131		шт	1'285.00	1.000	1'285.00	
Cковорода со стекл.крышкой,24х4,5 см,угл.сталь,керамическое антипригарное покрытие,жа BG 6819		шт	950.00	1.000	950.00	
Cковорода со стекл.крышкой,26х4,7 см,угл.сталь,керамическое антипригарное покрытие,жа BG 6820		шт	1'310.00	1.000	1'310.00	
Cковорода со стекл.крышкой,28х4,7 см,угл.сталь,керамическое антипригарное покрытие,жа BG 6821		шт	1'395.00	1.000	1'395.00	
Diamante Luce сковорода 28 см с керам. покр., штамп PDF2869		шт	1'020.00	1.000	1'020.00	
Forza Bianco нож керам бел 10 см + пилер PDSET11		шт	360.00	1.000	360.00	
Primavera сковорода 22 см с керамическим покрытием PDF2276		шт	800.00	1.000	800.00	
Primavera сковорода 24 см с керамическим покрытием внутри, внешняя поверхность - бела PDF2471		шт	910.00	1.000	910.00	
Primavera сковорода 26 см с керамическим покрытием PDF2672		шт	980.00	1.000	980.00	
Кастрюля (эмаль, 2.5л, 18x10см, с крышкой, с деколью, цвет: кремовый) WB 3003		шт	1'065.00	1.000	1'065.00	
Кастрюля (эмаль, 3л, 20x10.2см, с крышкой, с деколью, цвет: кремовый) WB 3004		шт	1'100.00	1.000	1'100.00	
Кастрюля (эмаль, 4л, 22x10.7см, с крышкой, с деколью, цвет: кремовый) WB 3005		шт	1'220.00	1.000	1'220.00	
Ковш  (эмаль, 1,5л, 16x8.5см, с крышкой, с деколью, цвет: кремовый) WB 3002		шт	1'030.00	1.000	1'030.00	
Набор кух.принадл. 6шт., 30*6*0,8 см, бамбук BRAVO 363 56980		шт	170.00	3.000	510.00	
Нож для нарезки яблок 93-AC-SL-02		шт	130.00	3.000	390.00	
РАСКО.посуды 10пр. (эмаль, кастрюля-1,5л, 2,1л, 2,9л, 3,9л, 6л, металлические крышки, BG 3592		шт	590.00	1.000	590.00	
РАСКО.посуды 10пр. (эмаль, кастрюля-1,5л, 2,1л, 2,9л, 3,9л, 6л, металлические крышки, BG 3592		шт	680.00	1.000	680.00	
РАСКО.посуды 10пр. (эмаль, кастрюля-1,5л, 2,1л, 2,9л, 3,9л, 6л, металлические крышки, BG 3592		шт	690.00	1.000	690.00	
РАСКО.посуды 10пр. (эмаль, кастрюля-1,5л, 2,1л, 2,9л, 3,9л, 6л, металлические крышки, BG 3592		шт	700.00	1.000	700.00	
РАСКО.посуды 10пр. (эмаль, кастрюля-1,5л, 2,1л, 2,9л, 3,9л, 6л, металлические крышки, BG 3592		шт	710.00	1.000	710.00	
Сахарница 14.5 х 9.5 х 11.5 см , 300г R396		шт	205.00	1.000	205.00	
Сахарница BK-8110  460мл. De Luxe, крышка метал., ложка метал. - 13см., толщина стенк BK-8110		шт	517.00	2.000	1'034.00	
Сковорода со стекл.крышкой,,26х5,5 см,штамп.алюм,белое керамическое покрытие,цвета: 4 KH 6457		шт	1'010.00	1.000	1'010.00	
Сковорода. Диаметр 26 см, бежевое керамическое покрытие Kerano™ внутри, внешняя повер PDF2603		шт	625.00	2.000	1'250.00	
Ступка с пестиком (фрф ступка 14 см, 650мл, деревянная подставка и пестик) VB1020140		шт	380.00	1.000	380.00	
Ступка с пестиком (фрф ступка 14 см, 900мл, деревянная подставка и пестик) VB-1020154		шт	580.00	1.000	580.00	
