							
							
							
Остатки ТМЦ на складах							
На дату: 18.03.20							
По всем фирмам. По всем юр. лицам. По всем упр. аналитикам. По всем номенклатурным позициям. По всем складам.							
ТМЦ		Ед.	"Отпускная цена
(руб.)"	МР МАГАЗИН		ПП99 Магазин	
				Кол - во	Сумма	Кол - во	Сумма
Модуль "Аквафор" В100-5 (бакт.добавка + уд.изб.жесткости)		шт	220.00	 	 	10.000	2'200.00
Модуль "Аквафор" В100-6 (умягчение ++)		шт	220.00	 	 	10.000	2'200.00
Модуль "Аквафор" В100-7 (удаление свободных радикалов)		шт	220.00	 	 	10.000	2'200.00
Модуль "Аквафор" В100-8 (увелич. ресурс по Cl + умягчение)		шт	200.00	 	 	3.000	600.00
Модуль "Аквафор" В100-8 (увелич. ресурс по Cl + умягчение)		шт	220.00	 	 	10.000	2'200.00
Фильтр "Аквафор Модерн М" (для м/в, В200М)		шт	1'140.00	 	 	1.000	1'140.00
Фильтр "Аквафор Модерн Н" (для ж/в, В200МЖ)		шт	1'140.00	 	 	1.000	1'140.00
Фильтр "Барьер Стайл"		шт	484.00	 	 	1.000	484.00
Фильтр "Барьер-4 Гранд Neo"		шт	522.00	 	 	1.000	522.00
Фильтр "Барьер-4 Гранд"		шт	506.00	 	 	1.000	506.00
Фильтр "Барьер-4 Норма" + кассета 4С в подарок		шт	444.00	 	 	2.000	888.00
Фильтр "Барьер-Эко"		шт	424.00	 	 	1.000	424.00
Фильтр-кувшин "Аквафор Гарри + 2 модуля В100-5 в подарок"		шт	624.00	 	 	1.000	624.00
Фильтр-кувшин "Аквафор Премиум + модуль В100-5 в подарок"		шт	535.00	 	 	1.000	535.00
Фильтр-кувшин "Аквафор Престиж + модуль В100-5 в подарок"		шт	550.00	 	 	2.000	1'100.00
Фильтр-кувшин "Аквафор Стандарт"		шт	350.00	 	 	1.000	350.00
Фильтр-кувшин "Аквафор Ультра"		шт	440.00	 	 	1.000	440.00
Отвод ПП 50-45* "Политэк" 100545		шт	16.00	 	 	6.000	96.00
Отвод ПП 50-90* "Политэк" 100587		шт	16.00	 	 	6.000	96.00
Труба с раструбом ПП 110*250 "Политэк" 111025		шт	59.00	 	 	5.000	295.00
Труба с раструбом ПП 110*750 "Политэк" 111075		шт	131.00	 	 	5.000	655.00
Труба с раструбом ПП 50*250 "Политэк" 115025		шт	31.00	 	 	5.000	155.00
Экран п/в "ПРЕМИУМ  А" белый  1,5		шт	1'400.00	 	 	1.000	1'400.00
Экран п/в "ПРЕМИУМ  А" белый  1,7		шт	1'400.00	 	 	1.000	1'400.00
Экран п/в "ПРЕМИУМ  А" голубой  1,5		шт	1'400.00	 	 	1.000	1'400.00
Экран п/в "ПРЕМИУМ  А" облака беж  1,5		шт	1'400.00	 	 	1.000	1'400.00
Экран п/в "ПРЕМИУМ  А" облака сирень  1,5		шт	1'400.00	 	 	1.000	1'400.00
Экран п/в "Ультра легкий" белый  1,5		шт	915.00	 	 	1.000	915.00
Экран п/в "Ультра легкий" голубой кафель  1,5		шт	1'050.00	 	 	1.000	1'050.00
Экран п/в "Ультра легкий" египет  1,5		шт	1'050.00	 	 	1.000	1'050.00
Экран п/в "Ультра легкий" капля  1,5		шт	1'050.00	 	 	1.000	1'050.00
Экран п/в "Ультра легкий" облака  1,5		шт	1'050.00	 	 	1.000	1'050.00
Экран п/в "Ультра легкий" песочный  1,5		шт	1'050.00	 	 	1.000	1'050.00
Банка 370мл, Розовая лилия дфс00312-01901		шт	195.00	 	 	2.000	390.00
Банка 370мл, Цитрусы дфс00312-01900		шт	195.00	 	 	2.000	390.00
Блюдце для варенья 110мм. 1/50 2с0013		шт	15.00	 	 	12.000	180.00
Бульонница 450мл   1/8 2с0315/3		шт	100.00	 	 	8.000	800.00
Бульонница Эфиопия 500мл 4/32 в1692-06292		шт	130.00	 	 	3.000	390.00
Ваза - аквариум д/цветов Флора (150*117) 43427б		шт	221.00	 	 	12.000	2'652.00
Ваза "Флора" 26см "Абстракция агат" 1/6 з43966аа		шт	290.00	 	 	1.000	290.00
Ваза "Флора" 26см "Абстракция изумруд" 1/6 з43966аи		шт	290.00	 	 	1.000	290.00
Ваза "Флора" h=16см 1/4 45068б		шт	360.00	 	 	4.000	1'440.00
Ваза "Флора" h=18см 1/6 80144б		шт	440.00	 	 	2.000	880.00
Ваза 26,5см" Алая роза двухсторонняя" д43767ардс		шт	180.00	 	 	1.000	180.00
Ваза д/цветов "Флора" 18см 1/6 80136б		шт	300.00	 	 	2.000	600.00
Ваза для цветов "Флора" 1/6 43896б		шт	330.00	 	 	3.000	990.00
Ваза для цветов "Флора" 1/6 80131б		шт	420.00	 	 	1.000	420.00
Ваза для цветов стекл. шар 20см Флора 1/4 45078б		шт	460.00	 	 	2.000	920.00
Ваза для цветов Флора h=103мм 1/12 43417б		шт	100.00	 	 	12.000	1'200.00
Ваза для цветов Флора h=79мм 1/12 43407б		шт	80.00	 	 	9.000	720.00
Ваза керамич белая с рисунком 20см W1881-1 в1881-1		шт	220.00	 	 	1.000	220.00
Ваза овальная 26см (руч.роспись) д6004/16		шт	230.00	 	 	1.000	230.00
Ваза овальная 26см, Астры д6004/104		шт	230.00	 	 	1.000	230.00
Ваза стеклянная, h=210, синий, 1/8 5408с		шт	331.00	 	 	3.000	993.00
Ваза Флора h=265мм 1/12 43767б		шт	150.00	 	 	12.000	1'800.00
Кастрюля 3л 1/4 л16127		шт	610.00	 	 	1.000	610.00
Кастрюля 3л без рисунка л3912		шт	570.00	 	 	1.000	570.00
Кружка 400 подсолнух 6в88п		шт	65.00	 	 	13.000	845.00
Кружка 400 Тюльпан синий 6в88тс		шт	65.00	 	 	15.000	975.00
Кружка заварочная 350мл ф/сито дфс00312-01901		шт	190.00	 	 	1.000	190.00
Кружка рельеф. 350 Саксонский букет 4в105сб		шт	50.00	 	 	15.000	750.00
