							
							
							
Остатки ТМЦ на складах							
На дату: 18.03.20							
По всем фирмам. По всем юр. лицам. По всем упр. аналитикам. По всем номенклатурным позициям. По всем складам.							
ТМЦ		Ед.	"Отпускная цена
(руб.)"	МР МАГАЗИН		ПП99 Магазин	
				Кол - во	Сумма	Кол - во	Сумма
Кипятильник 0,5 кВт IRIT IR-9001 в коробке (Китай) (размером на стакан) 220V		шт	80.00	 	 	10.000	800.00
Кипятильник 1,2 кВт (Вел.Луки)  220V		шт	160.00	 	 	2.000	320.00
Коробка распред. 70х30мм ОУ 3-х рожк. пластик. белая КРК		шт	10.00	 	 	1.000	10.00
Коробка распред. 70х30мм ОУ 4-х рожк. пластик. белая КРК		шт	14.00	 	 	1.000	14.00
Лампа Б 95W E27 (уп.144шт.) Томск штрих-код 232400		шт	11.00	 	 	341.000	3'751.00
Лампа люмин. Ecola  SP E14 15W 2700 115x35 Full Slim Z4RW15ECB		шт	143.00	 	 	5.000	715.00
Лампа люмин. Ecola  SP E14 15W 4000 115x35 Full Slim Z4RV15ECB		шт	143.00	 	 	2.000	286.00
Лампа люмин. Ecola SP E14 11W 2700 98x32 Micro Full Plus Light TS4W11ECC		шт	94.00	 	 	1.000	94.00
Лампа люмин. Ecola SP E14 11W 4100 98x32 Micro Full Plus Light TS4V11ECC		шт	94.00	 	 	3.000	282.00
Лампа люмин. Ecola SP E14 20W 2700 104x45 Full Z4NW20ECL		шт	153.00	 	 	15.000	2'295.00
Лампа люмин. Ecola SP E14 20W 4100 104x45 Full Z4NV20ECL		шт	153.00	 	 	15.000	2'295.00
Лампа люмин. Ecola SP E14 20W 6400 104x45 Full Z4ND20ECL		шт	153.00	 	 	10.000	1'530.00
Лампа люмин. Ecola SP E14 9W 2700 90x31 Mini Half Z4FW09ECB		шт	143.00	 	 	14.000	2'002.00
Лампа люмин. Ecola SP E14 9W 4000 90x31 Mini Half Z4FV09ECB		шт	143.00	 	 	14.000	2'002.00
Лампа люмин. Ecola SP E14 9W 6400 90x31 Mini Half Z4FD09ECB		шт	143.00	 	 	10.000	1'430.00
Лампа люмин. Ecola SP E27  9W 4000 82x31 Mini Half Z7FV09ECB		шт	143.00	 	 	1.000	143.00
Лампа люмин. Ecola SP E27 11W 2700 98x32 Micro Full Z7FW11ECC		шт	127.00	 	 	11.000	1'397.00
Лампа люмин. Ecola SP E27 11W 4100 98x32 Micro Full Z7FV11ECC		шт	127.00	 	 	15.000	1'905.00
Лампа люмин. Ecola SP E27 12W 4100 95x42 Mini S-16 Z7BV12ECB		шт	146.00	 	 	15.000	2'190.00
Лампа люмин. Ecola SP E27 15W 2700 98x45 Full Z7NW15ECL		шт	140.00	 	 	13.000	1'820.00
Лампа люмин. Ecola SP E27 15W 4100 98x45 Full Z7NV15ECL		шт	140.00	 	 	9.000	1'260.00
Лампа люмин. Ecola SP E27 20W 2700 128x48 Light TS7W20ECC		шт	122.00	 	 	5.000	610.00
Лампа люмин. Ecola SP E27 25W 2700 105x50 Slim Full Z7SW25ECL		шт	170.00	 	 	15.000	2'550.00
Лампа люмин. Ecola SP E27 25W 4100 105x50 Slim Full Z7SV25ECL		шт	168.00	 	 	2.000	336.00
Лампа люмин. Ecola SP E27 25W 4100 105x50 Slim Full Z7SV25ECL		шт	170.00	 	 	9.000	1'530.00
Лампа люмин. Ecola SP E27 30W 2700 128x59 Z7NW30ECL		шт	188.00	 	 	1.000	188.00
Лампа люмин. Philips T8 G13 18W 6500 590x26 TL-D 18W/54-765		шт	53.00	 	 	13.000	689.00
Лампа люмин. Philips T8 G13 36W 4000 1200x26 TL-D 36W/33-640		шт	77.00	 	 	21.000	1'617.00
Лампа люмин. Sweko PL G23 11W 4000 237x31(12) CFL-PS-11W-840-G23-10 38177		шт	73.00	 	 	2.000	146.00
Лампа накал. GE R39 E14 30W зеркальная 92124/21524		шт	54.00	 	 	3.000	162.00
Лампа накал. GE R50 E14 40W зеркальная 92366		шт	39.00	 	 	24.000	936.00
Лампа накал. GE R50 E14 60W зеркальная 91327		шт	39.00	 	 	30.000	1'170.00
Лампа накал. GE R80 E27 60W зеркальная 92839/90377		шт	60.00	 	 	6.000	360.00
Лампа накал. GE R80 E27 75W зеркальная 92859		шт	60.00	 	 	5.000	300.00
Лампа накал. Philips B35 E27 60W свеча прозрачная		шт	30.00	 	 	100.000	3'000.00
Лампа накал. Искра A55 E27 60W ЛОН матовая 239102		шт	13.00	 	 	16.000	208.00
Лампа накал. Искра A55 E27 75W ЛОН матовая 239103		шт	13.00	 	 	20.000	260.00
Лючок ревизионный пластиковый Д150х200		шт	130.00	 	 	1.000	130.00
Лючок ревизионный пластиковый Д200х200		шт	140.00	 	 	1.000	140.00
Лючок ревизионный пластиковый Д200х250		шт	152.00	 	 	1.000	152.00
Лючок ревизионный пластиковый Д200х300		шт	190.00	 	 	1.000	190.00
Лючок ревизионный пластиковый Д250х300		шт	223.00	 	 	1.000	223.00
Лючок ревизионный пластиковый Д300х300		шт	236.00	 	 	1.000	236.00
Лючок ревизионный пластиковый Д300х400		шт	260.00	 	 	1.000	260.00
Лючок ревизионный пластиковый Д400х400		шт	420.00	 	 	1.000	420.00
Отвертка индикаторная (Отвертка-пробник 304), 100-500В, 175мм 651-525		шт	15.00	 	 	20.000	300.00
Отвертка индикаторная (Отвертка-пробник 808), 100-500В, 170мм 651-867		шт	20.00	 	 	12.000	240.00
Отвертка индикаторная Navigator NTP-S 71116 многофункциональная		шт	80.00	 	 	9.000	720.00
Патч-корд UTP 5e кат. RJ-45 вилка - RJ-45 вилка 2м, литой Gembird PP12e-2m		шт	35.00	 	 	2.000	70.00
Патч-корд UTP 5e кат. RJ-45 вилка - RJ-45 вилка 2м, литой Gembird PP12e-2m		шт	36.00	 	 	2.000	72.00
Провод ПВС 2*0,5 соединит., медный, высокой гибк., дв. изоляция ПВХ		шт	10.00	 	 	190.000	1'900.00
Провод ПВС 2*0,75 (МГК КЛК-трейдин, г. Москва) соединит., белый медный, высокой гибк.		шт	15.00	 	 	76.000	1'140.00
Провод ПВС 2*1,5 (ТУ) соединит., белый, медный, высокой гибк., дв. изоляция ПВХ		шт	25.00	 	 	97.000	2'425.00
Провод ПВС 2*2,5 соединит., белый, медный, высокой гибк., дв. изоляция ПВХ		шт	35.00	 	 	75.000	2'625.00
Провод ПВС 3*0,75 соединит., медный, высокой гибк., дв. изоляция ПВХ		шт	25.00	 	 	100.000	2'500.00
Провод ПВС 3*1,5 соединит., медный, высокой гибк., дв. изоляция ПВХ		шт	35.00	 	 	98.000	3'430.00
Провод ПВС 3*2,5 соединит., белый, медный, высокой гибк., дв. изоляция ПВХ		шт	50.00	 	 	100.000	5'000.00
Провод ПУГНП/ПБППГ/ПУБГП/ШВВП-Т 2*1,5 бытовой медный гибкий дв. изол. ПВХ 250В		шт	20.00	 	 	55.000	1'100.00
Провод ПУГНП/ПБППГ/ПУБГП/ШВВП-Т 2*2,5 бытовой медный гибкий дв. изол. ПВХ 250В		шт	30.00	 	 	99.000	2'970.00
Провод ПУГНП/ПБППГ/ПУБГП/ШВВП-Т 3*1,5 бытовой медный гибкий дв. изол. ПВХ 250В		шт	27.00	 	 	89.000	2'403.00
Провод ПУГНП/ПБППГ/ПУБГП/ШВВП-Т 3*2,5 бытовой медный гибкий дв. изол. ПВХ 250В		шт	45.00	 	 	100.000	4'500.00
Провод ПУНП/ПВВП/ПУБП/ВВГ-Т 2*2,5 бытовой медный дв. изол. ПВХ 250В		шт	30.00	 	 	100.000	3'000.00
Провод ПУНП/ПВВП/ПУБП/ВВГ-Т 3*1,5 бытовой медный дв. изол. ПВХ 250В		шт	27.00	 	 	60.000	1'620.00
Провод ПУНП/ПВВП/ПУВВ/ВВГ-Т 2*1,5 бытовой медный дв. изол. ПВХ 250В		шт	20.00	 	 	95.000	1'900.00
Провод ТРП 2*0,4 телеф. медный изоляция ПЭ		шт	3.00	 	 	100.000	300.00
Провод ШВВП 2*0,5 соединит. белый медный высокой гибк. дв. изоляция ПВХ 220В		шт	10.00	 	 	190.000	1'900.00
Радиатор Engy EN-1305, 5секций, 1кВт, 3 режима		шт	1'860.00	 	 	1.000	1'860.00
Радиатор Engy EN-1307, 7секций, 1,5кВт, 3 режима		шт	2'160.00	 	 	1.000	2'160.00
Радиатор Engy EN-1609, 9секций, 2кВт, 3 режима		шт	2'400.00	 	 	1.000	2'400.00
Радиатор Engy EN-1705 мини, 5секций, 0,5кВт, h=38см		шт	1'340.00	 	 	1.000	1'340.00
Тепловентилятор Engy EN-508, 2кВт, 3 режима, спирал. нагрев.		шт	740.00	 	 	1.000	740.00
Тепловентилятор Engy EN-510, 2кВт, 3 режима, спирал. нагрев., 2 положения работы		шт	740.00	 	 	1.000	740.00
Тепловентилятор Engy KRP-5, 1,5кВт, 3 режима, керам. нагрев., откл. при падении		шт	980.00	 	 	1.000	980.00
Тепловентилятор Engy PTC-302B, 1,5кВт, керам. нагрев., 3 режима, автовращение		шт	1'160.00	 	 	1.000	1'160.00
Тепловентилятор Engy PTC-309A, 1,5кВт, керам. нагрев., 3 режима		шт	1'170.00	 	 	1.000	1'170.00
Теплоизлучатель 200W E27 Т 230-240-200 (уп. 100шт.) 393585		шт	20.00	 	 	6.000	120.00
ТЛФ адаптер Netko (вилка РТШ- 2гн 6р4с)		шт	32.00	 	 	10.000	320.00
ТЛФ адаптер Netko (розетка РТШ- 2гн 6р4с)		шт	30.00	 	 	11.000	330.00
ТЛФ адаптер Pharmec (вилка)		шт	32.00	 	 	2.000	64.00
Удлинитель ТЛФ евро 10м /4жил./белый		шт	45.00	 	 	2.000	90.00
Удлинитель ТЛФ евро 15м /4жил./белый		шт	64.00	 	 	3.000	192.00
Удлинитель ТЛФ евро 2м /4жил./белый		шт	17.00	 	 	2.000	34.00
Удлинитель ТЛФ евро 3м /4жил./белый		шт	20.00	 	 	3.000	60.00
Удлинитель ТЛФ евро 5м /4жил./белый		шт	30.00	 	 	2.000	60.00
Удлинитель ТЛФ евро 7м /4жил./белый		шт	37.00	 	 	3.000	111.00
Элемент питания Duracell LR03/286 Turbo K4 ПРОМО MAX 3+1		шт	39.00	 	 	26.000	1'014.00
Элемент питания Duracell LR14/343 K2		шт	92.00	 	 	7.000	644.00
Элемент питания Duracell LR20/373 K2		шт	126.00	 	 	2.000	252.00
Элемент питания Duracell LR6/316 BL12		шт	30.00	 	 	1.000	30.00
Элемент питания Duracell LR6/316 Turbo K4 (3+1) ПРОМО MAX		шт	40.00	 	 	1.000	40.00
Запасной патрон к фильтру "Родник-3М" 384		шт	340.00	 	 	39.000	13'260.00
Запасной патрон к фильтру "Родник-7С"		шт	285.00	 	 	4.000	1'140.00
Запасной патрон к фильтру "РодникН"		шт	400.00	 	 	3.000	1'200.00
Насадка к фильтру "Родник" малая		шт	16.00	 	 	1.000	16.00
Насадка к фильтру "Родник" малая		шт	20.00	 	 	3.000	60.00
Насадка к фильтру "Родник" средняя		шт	17.00	 	 	1.000	17.00
Насадка к фильтру "Родник" средняя		шт	20.00	 	 	3.000	60.00
Насадка к фильтру "Родник"большая		шт	20.00	 	 	5.000	100.00
Патрон сменный к фильтру "Родник-Кувшин" 7745		шт	150.00	 	 	6.000	900.00
Патрон сменный к фильтру "Родник-Кувшин" 7745		шт	180.00	 	 	10.000	1'800.00
Патрон сменный к фильтру "Родник-Кувшин" для жесткой воды 7745		шт	165.00	 	 	5.000	825.00
Патрон сменный к фильтру "Родник-Кувшин" для жесткой воды 7745		шт	195.00	 	 	10.000	1'950.00
Фильтр "Родник-3М" 370		шт	590.00	 	 	6.000	3'540.00
Фильтр "Родник-Кувшин" 2150		шт	465.00	 	 	3.000	1'395.00
Фильтр ,,Родник-Н,, H		шт	750.00	 	 	8.000	6'000.00
Фильтр ,,Родник7С,, 7С		шт	790.00	 	 	4.000	3'160.00
Шланг подводящий к фильтру Родник-3М		шт	35.00	 	 	1.000	35.00
Шланг подводящий к фильтру Родник-3М		шт	45.00	 	 	3.000	135.00
Шланг подводящий к фильтру Родник-7С		шт	45.00	 	 	1.000	45.00
Шланг подводящий к фильтру Родник-7С		шт	55.00	 	 	4.000	220.00
Алебастр  2кг (гипс строит.) /Б		шт	25.00	 	 	2.000	50.00
Ацетон  0,5л/М		шт	50.00	 	 	12.000	600.00
Ацетон  1л/М		шт	90.00	 	 	10.000	900.00
Базис - затирка д/швов 2кг (супер-белая)		шт	67.00	 	 	1.000	67.00
Базис - шпаклевка финишная д/вн/работ 4кг		шт	120.00	 	 	3.000	360.00
Базис-шпаклевка универса.д\внутр\работ 4кг. 10994		шт	115.00	 	 	1.000	115.00
Бензин КАЛОША С80/120 (нефрас) 0,5л  (ОлифаХим)		шт	45.00	 	 	9.000	405.00
Бензин КАЛОША С80/120 (нефрас) 0,5л  (ОлифаХим)		шт	50.00	 	 	1.000	50.00
Бетоконтакт  1,3кг д/внутр.р. ОПТИМАКС / ОПТИЛЮКС (И)		шт	110.00	 	 	1.000	110.00
Бетоконтакт  3кг д/внутр.р. ОПТИМАКС / ОПТИЛЮКС (И)		шт	240.00	 	 	1.000	240.00
Бетоконтакт  6кг д/внутр.р. ОПТИМАКС / ОПТИЛЮКС (И)		шт	493.00	 	 	2.000	986.00
Брусок абразивный д/точки кос и ножей "Лодочка"  225мм / 9"  (НН)		шт	38.00	 	 	1.000	38.00
В/д  д/потолков белая  1,3кг (Лакра)		шт	60.00	 	 	5.000	300.00
В/д  д/потолков белая  3кг (Лакра) ведро		шт	125.00	 	 	2.000	250.00
В/д  д/потолков супербелая   3кг (Лакра)		шт	170.00	 	 	3.000	510.00
В/д  д/стен и потолков белоснежн. 1,3кг (Лакра)		шт	67.00	 	 	1.000	67.00
В/д  интерьерная белая 3кг (Лакра) ведро		шт	140.00	 	 	3.000	420.00
В/д PARADE W1 акрил.д/потолков бел.мат. 2,5л		шт	300.00	 	 	2.000	600.00
В/д PARADE W1 акрил.д/потолков бел.мат. 5л		шт	580.00	 	 	1.000	580.00
В/д PARADE W2  акрил.д/стен и пот. бел.мат. 5л		шт	625.00	 	 	2.000	1'250.00
В/д PARADE W3 акрил.д/стен и пот.моющ. бел.мат. 2,5л		шт	420.00	 	 	1.000	420.00
В/д PARADE W3 акрил.д/стен и пот.моющ. бел.мат. 2,5л		шт	460.00	 	 	2.000	920.00
В/д PARADE W3 акрил.д/стен и пот.моющ.бел.мат. 5л		шт	735.00	 	 	1.000	735.00
В/д PARADE W3 акрил.д/стен и пот.моющ.бел.мат. 5л		шт	785.00	 	 	1.000	785.00
В/д Коллекция акрил. д/потолка  3кг (И)		шт	160.00	 	 	3.000	480.00
В/д Коллекция акрил. моющаяся  3кг (И)		шт	280.00	 	 	2.000	560.00
В/д ОПТИЛЮКС д/потолка белоснеж.  1,4кг (И)		шт	60.00	 	 	4.000	240.00
В/д ОПТИЛЮКС д/потолка белоснеж.  3кг (И)		шт	125.00	 	 	4.000	500.00
В/д ОПТИЛЮКС д/потолка белоснеж.  7кг (И)		шт	270.00	 	 	4.000	1'080.00
В/д ОПТИЛЮКС интерьер.белоснеж.  3кг (И)		шт	160.00	 	 	4.000	640.00
В/д ОПТИЛЮКС интерьер.белоснеж.  7кг (И)		шт	350.00	 	 	2.000	700.00
В/д ОПТИЛЮКС моющаяся белоснеж.  1,4кг (И)		шт	120.00	 	 	4.000	480.00
В/д ОПТИЛЮКС моющаяся белоснеж.  3кг (И)		шт	250.00	 	 	3.000	750.00
В/д ОПТИЛЮКС моющаяся белоснеж.  7кг (И)		шт	540.00	 	 	1.000	540.00
В/д ОПТИМАКС / ОПТИЛЮКС акрил. фасадная  1,4 кг (И)		шт	110.00	 	 	1.000	110.00
В/д ОПТИМАКС / ОПТИЛЮКС акрил. фасадная  3 кг (И)		шт	220.00	 	 	2.000	440.00
В/д ОПТИМАКС / ОПТИЛЮКС д/потолка белоснеж.  1,4кг (И)		шт	60.00	 	 	1.000	60.00
В/д ОПТИМАКС / ОПТИЛЮКС д/потолка белоснеж.  3кг (И)		шт	120.00	 	 	1.000	120.00
В/д ОПТИМАКС / ОПТИЛЮКС интерьер.белоснеж.  1,4кг (И)		шт	75.00	 	 	1.000	75.00
В/д ОПТИМАКС / ОПТИЛЮКС интерьер.белоснеж.  3кг (И)		шт	160.00	 	 	2.000	320.00
В/д ОПТИМАКС / ОПТИЛЮКС моющаяся белоснеж.  1,4кг (И)		шт	120.00	 	 	2.000	240.00
Валик  Прижимной  д/прикатки швов, пластик "конус", 35*40мм  (888)   1390016		шт	30.00	 	 	1.000	30.00
Валик  Прижимной ПРОФИ, д/прикатки обоев, п/у плотный, 45*150мм, двухкомп.ручка  (888		шт	130.00	 	 	2.000	260.00
Валик  Прижимной ПРОФИ, д/прикатки обоев, п/у плотный, 50*180мм, двухкомп.ручка  (888		шт	180.00	 	 	2.000	360.00
Валик велюр в сборе 140мм  (Лакра) 0306180		шт	75.00	 	 	8.000	600.00
Валик велюр в сборе 200мм  (Лакра) 0306190		шт	85.00	 	 	5.000	425.00
Валик поролон в сборе 100мм Т4Р (Лакра) 0306110		шт	65.00	 	 	4.000	260.00
Валик поролон в сборе 150мм Т4Р (Лакра) 0306115		шт	75.00	 	 	3.000	225.00
Валик поролон в сборе 200мм Т4Р (Лакра) 0306120		шт	75.00	 	 	3.000	225.00
Ванночка маляр. 27*28мм Синий Т4Р (Лакра) 0601400		шт	65.00	 	 	2.000	130.00
Ванночка малярн. 15*29см Желтая  (888)  1872014		шт	35.00	 	 	4.000	140.00
Ванночка малярн. 23*29см Желтая  (888)  1874019		шт	60.00	 	 	3.000	180.00
Ванночка малярн. 33*34см Черная  (888)  1876009		шт	60.00	 	 	4.000	240.00
Ведро хозяйственное складное с логотип. Желтое 11л (888)  9121011		шт	270.00	 	 	2.000	540.00
Ветонит LR+ Максит шпаклевка финишная 5кг (цена за уп.3шт)		шт	400.00	 	 	2.000	800.00
Вилка столовая Essa MV-014S		шт	30.00	 	 	32.000	960.00
Вилка-переходник плоская евро 16А белая		шт	15.00	 	 	15.000	225.00
Вольфрамовая струна 300мм  (888)  6809030		шт	105.00	 	 	2.000	210.00
Гвоздодер 16*400мм  (888)  6090040		шт	253.00	 	 	1.000	253.00
Гвоздодер 16*400мм  (888)  6090040		шт	255.00	 	 	2.000	510.00
Гвоздодер 20*600мм  (888)  6090060		шт	328.00	 	 	1.000	328.00
Герметик акрил. KRASS для интерьер.работ  белый 300мл		шт	97.00	 	 	2.000	194.00
Герметик силикатный KRASS д/каминов и печей черный 300мл		шт	210.00	 	 	2.000	420.00
Герметик силикон. KRASS аквариумн.черный 300мл		шт	185.00	 	 	1.000	185.00
Герметик силикон. KRASS д/кухни и ванны белый 115мл		шт	120.00	 	 	10.000	1'200.00
Герметик силикон. KRASS д/кухни и ванны бесцвет.115мл		шт	120.00	 	 	14.000	1'680.00
Герметик силикон. KRASS для бетона и натур. камня  бесцвет. 300мл		шт	170.00	 	 	1.000	170.00
Герметик силикон. KRASS санит. белый 300мл		шт	165.00	 	 	12.000	1'980.00
Герметик силикон. KRASS санит.бесцвет. 300мл		шт	170.00	 	 	7.000	1'190.00
Герметик силикон. KRASS универ. белый 115мл		шт	90.00	 	 	1.000	90.00
Герметик силикон. KRASS универ. белый 115мл		шт	120.00	 	 	10.000	1'200.00
Герметик силикон. KRASS универ. бесцвет. 115мл		шт	120.00	 	 	16.000	1'920.00
Герметик силикон. KRASS универ.бесцвет.300мл		шт	120.00	 	 	1.000	120.00
Герметик силиконизированный KRASS белый 300мл		шт	136.00	 	 	3.000	408.00
Грунт ГФ-021 РАДУГА  белый 0,9кг		шт	120.00	 	 	2.000	240.00
Грунт ГФ-021 РАДУГА  белый 1,9кг		шт	205.00	 	 	1.000	205.00
Грунт ГФ-021 РАДУГА красно-кор. 0,9кг		шт	110.00	 	 	2.000	220.00
Грунт ГФ-021 РАДУГА красно-кор. 1,9кг		шт	190.00	 	 	1.000	190.00
Грунт ГФ-021 РАДУГА серый 1,9кг		шт	205.00	 	 	1.000	205.00
грунт-эмаль по ржавчине 3 в 1 белый (банка 0,9кг)		шт	240.00	 	 	2.000	480.00
Грунтовка глубок.проникн. Коллекция  1л (И)		шт	65.00	 	 	5.000	325.00
Грунтовка глубок.проникн. Спутник   5л (И)		шт	190.00	 	 	1.000	190.00
Грунтовка глубок.проникн. Спутник   5л (И)		шт	223.00	 	 	1.000	223.00
Грунтовка глубок.проникн. Спутник  10л (И)		шт	295.00	 	 	1.000	295.00
Грунтовка глубок.проникн. Спутник  10л (И)		шт	330.00	 	 	1.000	330.00
Грунтовка д/внутр/р ОПТИЛЮКС  1л (И)		шт	60.00	 	 	2.000	120.00
Грунтовка д/наруж.и внутр./р ОПТИЛЮКС  5л (И)		шт	305.00	 	 	2.000	610.00
Длинногубцы CrV сталь, сатинир.пов-сть, двухкомп.руч  160мм  (888)  6212160		шт	140.00	 	 	2.000	280.00
Заклепочник Поворотный на 360гр. алюминев., дл.260мм (2,4/3,2/4,0/4,8мм) (888)   6872		шт	384.00	 	 	1.000	384.00
Заклепочник Поворотный на 90гр, дл.250мм (2,4/3,2/4,0/4,8мм) (888)   6872180		шт	254.00	 	 	1.000	254.00
Заклепочник Силовой 425мм (2,4/3,2/4,0/4,8мм) (888)   6872040		шт	358.00	 	 	1.000	358.00
Замазка по монтажной пене Коллекция 1,4кг (И)		шт	110.00	 	 	8.000	880.00
Замазка по монтажной пене Коллекция 3кг (И)		шт	195.00	 	 	1.000	195.00
Замазка строит.-универс. 0,7кг (И)		шт	65.00	 	 	1.000	65.00
Замазка строит.-универс. 0,7кг (И)		шт	76.00	 	 	4.000	304.00
Замазка строит.-универс. 1,4кг (И)		шт	125.00	 	 	10.000	1'250.00
Затирка Коллекция 0,8кг ведро белая (И)		шт	65.00	 	 	4.000	260.00
Затирка Коллекция 0,8кг ведро голубая (И)		шт	90.00	 	 	2.000	180.00
Затирка Коллекция 1,7кг ведро бежевая (И)		шт	110.00	 	 	3.000	330.00
Затирка Коллекция 1,7кг ведро белая (И)		шт	115.00	 	 	3.000	345.00
Затирка Коллекция 1,7кг ведро графит (И)		шт	120.00	 	 	3.000	360.00
Затирка Коллекция 1,7кг ведро натуральная (И)		шт	110.00	 	 	3.000	330.00
Затирка Коллекция 1,7кг ведро розовая (И)		шт	120.00	 	 	3.000	360.00
Затирка Коллекция 1,8кг ведро голубая (И)		шт	120.00	 	 	2.000	240.00
Затирка Коллекция 1,8кг ведро карамель (И)		шт	110.00	 	 	3.000	330.00
Затирка Коллекция 1,8кг ведро роса (И)		шт	115.00	 	 	3.000	345.00
Затирка Коллекция 1,8кг ведро светло-зеленая (И)		шт	120.00	 	 	3.000	360.00
Затирка Коллекция 1,8кг ведро серая (И)		шт	110.00	 	 	3.000	330.00
Карандаш малярный 175мм  (уп 12шт)  (888)   3007004		шт	10.00	 	 	17.000	170.00
Керосин  0,5л освет.тех.бут/ОлифаХим		шт	45.00	 	 	9.000	405.00
Керосин 0,5л  (24шт) /М		шт	45.00	 	 	2.000	90.00
Кисть  Ракля Стандарт 30* 70мм   /нат.щетина, оц.оправка, пласт.корп/ручка (888)   01		шт	50.00	 	 	3.000	150.00
Кисть  Ракля Стандарт 30*100мм   /нат.щетина, оц.оправка, пласт.корп/ручка (888)   01		шт	60.00	 	 	4.000	240.00
Кисть  Ракля Стандарт 30*120мм   /нат.щетина, оц.оправка, пласт.корп/ручка (888)   01		шт	70.00	 	 	3.000	210.00
Кисть  Ракля Стандарт 50*150мм  /нат.щетина, оц.оправка, пласт.корп/ручка (888)   018		шт	110.00	 	 	2.000	220.00
Кисть  Ракля Стандарт 50*150мм  /нат.щетина, оц.оправка, пласт.корп/ручка (888)   018		шт	120.00	 	 	1.000	120.00
Кисть круглая 40мм №10 Т4Р (Лакра)   0100110		шт	25.00	 	 	2.000	50.00
Кисть плоская Евро   25мм   / нат.щет, ник.оправка, лак.дер.ручка (888)   0128210		шт	15.00	 	 	1.000	15.00
Кисть плоская Евро   38мм   / нат.щет, ник.оправка, лак.дер.ручка (888)   0128220		шт	26.00	 	 	10.000	260.00
Кисть плоская ЕвроМикс  38мм  / смесь нат/синт.щет, ник.оправка (888) 0127220		шт	23.00	 	 	1.000	23.00
Кисть плоская ЕвроМикс  63мм  / смесь нат/синт.щет, ник.оправка (888) 0127240		шт	40.00	 	 	4.000	160.00
Кисть плоская ЕвроМикс  72мм  / смесь нат/синт.щет, ник.оправка (888) 0127250		шт	48.00	 	 	4.000	192.00
Кисть плоская СКАЗКА  20мм  /нат.щет, ник.оправка, лак.дер.руч (888) 0126000		шт	7.00	 	 	12.000	84.00
Кисть плоская СКАЗКА  20мм  /нат.щет, ник.оправка, лак.дер.руч (888) 0126000		шт	10.00	 	 	11.000	110.00
Кисть плоская СКАЗКА  25мм  /нат.щет, ник.оправка, лак.дер.руч (888) 0126010		шт	10.00	 	 	29.000	290.00
Кисть плоская СКАЗКА  38мм  /нат.щет, ник.оправка, лак.дер.руч (888) 0126020		шт	15.00	 	 	9.000	135.00
Кисть плоская СКАЗКА  50мм  /нат.щет, ник.оправка, лак.дер.руч (888) 0126030		шт	25.00	 	 	6.000	150.00
Кисть плоская СКАЗКА  63мм  /нат.щет, ник.оправка, лак.дер.руч (888) 0126040		шт	25.00	 	 	20.000	500.00
Кисть плоская СКАЗКА  75мм  /нат.щет, ник.оправка, лак.дер.руч (888) 0126050		шт	35.00	 	 	4.000	140.00
Кисть плоская СКАЗКА 100мм  /нат.щет, ник.оправка, лак.дер.руч (888) 0126060		шт	50.00	 	 	12.000	600.00
Кисть радиаторная Стандарт   38мм   / нат.щетина, оц.оправка, дер.руч (888)   0132219		шт	25.00	 	 	2.000	50.00
Киянка резиновая с лак.дер.ручк. 340г (888)   6821550		шт	90.00	 	 	1.000	90.00
Киянка резиновая с лак.дер.ручк. 450г (888)   6821650		шт	110.00	 	 	2.000	220.00
Киянка резиновая с лак.дер.ручк. 680г (888)   6821900		шт	150.00	 	 	2.000	300.00
Клей 88-НТ 50мл шоу-бокс (НБХ)		шт	35.00	 	 	7.000	245.00
Клей QUELYD спец.винил. 300г		шт	170.00	 	 	3.000	510.00
Клей QUELYD спец.винил. 300г		шт	174.00	 	 	-1.000	-174.00
Клей QUELYD спец.флизелин. 300г		шт	170.00	 	 	3.000	510.00
Клей QUELYD спец.флизелин. 300г		шт	179.00	 	 	-1.000	-179.00
Клей QUELYD супер-экспресс 250г		шт	140.00	 	 	3.000	420.00
Клей QUELYD экспресс 180г		шт	98.00	 	 	2.000	196.00
Клей Бустилат Спутник 1кг (И)		шт	70.00	 	 	4.000	280.00
Клей д/напольных покрытий 1,5кг ОПТИМАКС / ОПТИЛЮКС (И)		шт	65.00	 	 	2.000	130.00
Клей жидкие гвозди  KRASS д/древес. бежев.столярный 300мл		шт	130.00	 	 	2.000	260.00
Клей жидкие гвозди  KRASS д/древес. бежев.столярный 300мл		шт	160.00	 	 	3.000	480.00
Клей жидкие гвозди  KRASS д/зеркал суперсильн.бежев. 300мл		шт	115.00	 	 	2.000	230.00
Клей жидкие гвозди  KRASS д/металла и ПВХ беж. 300мл		шт	110.00	 	 	2.000	220.00
Клей жидкие гвозди  KRASS д/металла и ПВХ беж. 300мл		шт	120.00	 	 	3.000	360.00
Клей жидкие гвозди  KRASS д/пластика и плитки белый 300мл		шт	120.00	 	 	3.000	360.00
Клей жидкие гвозди  KRASS д/стиропора и панелей белый 300мл		шт	100.00	 	 	1.000	100.00
Клей жидкие гвозди  KRASS неопрен.Контактный Желтый 300мл		шт	140.00	 	 	2.000	280.00
Клей Квинтол-люкс  50мл шоу-бокс (НБХ)		шт	25.00	 	 	1.000	25.00
Клей Квинтол-люкс  50мл шоу-бокс (НБХ)		шт	30.00	 	 	10.000	300.00
