						
						
						
Остатки ТМЦ на складах						
На дату: 24.08.20						
По всем фирмам. По всем юр. лицам. По всем упр. аналитикам. По всем номенклатурным позициям. По складу "Петр.99".						
ТМЦ		Ед.	"Отпускная цена
(руб.)"	Петр.99		
				Кол - во	Сумма	
Диск лепестковый для дрели радиальный 60*20*6 мм Р 100 /Р 150 39565/ 39567		шт	115.00	2.000	230.00	
Диск лепестковый для дрели радиальный 60*20*6 мм Р 80 39564		шт	120.00	1.000	120.00	
Диск отрезной алмазный "Турбо" (сухая и влажная резка), посадочный диаметр 22,2 мм, 1 37268		шт	400.00	1.000	400.00	
Диск отрезной алмазный CUTOP Profi Plus, 125 x 1.2 x 5.8 x 22.2 мм 64-12512		шт	750.00	2.000	1'500.00	
Диск отрезной алмазный сегментный CUTOP, 125 x1.9 x 8.0 x 22.2 мм 60-12519		шт	310.00	1.000	310.00	
Диск отрезной алмазный сегментный CUTOP, 150 х 2.2 х 8.0 х 22.2 мм 60-15022		шт	460.00	2.000	920.00	
Диск отрезной алмазный сегментный CUTOP, 180 х 2.4 х 8.0 х 22.2 мм 60-18024		шт	600.00	1.000	600.00	
Диск отрезной алмазный сегментный CUTOP, 230 x 2.6 x 8.0 x 22.2 мм 60-23026		шт	840.00	2.000	1'680.00	
Диск отрезной алмазный турбо CUTOP, 125 x 2.3 x 8.0 x 22.2 мм 61-12523		шт	295.00	2.000	590.00	
Диск отрезной алмазный турбо CUTOP, 230 x 3.0 x 8.0 x 22.2 мм 61-23030		шт	870.00	1.000	870.00	
Диск отрезной по металлу  125 х2,5х22.2,  50-41-0 с МИРА		шт	50.00	37.000	1'850.00	
Диск отрезной по металлу Greatflex T41-125х1,6х22.2, класс Master 50-41-004		шт	45.00	2.000	90.00	
Диск отрезной по металлу Greatflex T41-150х1,8х22.2, класс Master 50-41-007		шт	75.00	1.000	75.00	
Диск пильный по дереву, посадочный диаметр 22,2 мм, 3 зуба с карбидными вставками, 12 37631 /37635		шт	440.00	1.000	440.00	
Диск пильный по ламинату  190 x 30 x 60 T 37777		шт	640.00	1.000	640.00	
Диск шлифовальный с липучкой, гайка М14 + переходник для дрели, 125x10 мм 39619		шт	265.00	3.000	795.00	
Диск шлифовальный с липучкой, гайка М14 + переходник для дрели, 125x10 мм 39619		шт	540.00	1.000	540.00	
Диск шлифовальный, с липучкой 150 x 10 мм, М14 + переходник 39622		шт	310.00	1.000	310.00	
Дюбель распорный с шипами тип К синий 6 х 35/10*60 100шт.(фасовка) 23843-0/23846-0		шт	0.70	195.000	136.50	
Дюбель распорный с шипами тип К синий 6 х 35/10*60 100шт.(фасовка) 23843-0/23846-0		шт	1.50	113.000	169.50	
Дюбель универсальный с бортиком (U) 10 х 61 100шт. (Фасовка) 23856-0		упак	2.50	50.000	125.00	
Дюбель универсальный с бортиком (U) 12*71 100шт. Пром 23857		шт	3.00	177.000	531.00	
Дюбель универсальный с бортиком (U) 6 х 42 100шт. (Фасовка) 23852		упак	1.00	1.000	1.00	
Дюбель универсальный с бортиком (U) 8 х 52/8*50 с шипами 100шт. Пром 23854		шт	1.00	78.000	78.00	
Заглушка белый/серый / сосна ,/дуб / вишня/ махакон (под саморез,под 6-г  пакет 50шт. 31731/31741/31742		кг	20.00	42.000	840.00	
Заглушка-самоклейка Белый/Венге/Орех по 50шт		шт	35.00	3.000	105.00	
Зажим для троса 10 мм DIN 741 31500		шт	15.00	2.000	30.00	
Заклепки 4,8х12мм/ 4,8х14мм, 50шт. 3120-48-12/14		шт	100.00	5.000	500.00	
Заклепки 4,8х12мм/ 4,8х14мм, 50шт. 3120-48-12/14		шт	115.00	4.000	460.00	
Заклепки мелкая фасовка, 50 шт., 3.2 х 10 мм 23720		упак	55.00	1.000	55.00	
Заклепки мелкая фасовка, 50 шт., 4.0 х 10 мм/ 4.0 х 14 мм 3120-40-10/14		упак	65.00	2.000	130.00	
Заклепки мелкая фасовка, 50 шт., 4.0 х 10 мм/ 4.0 х 14 мм 3120-40-10/14		упак	75.00	3.000	225.00	
Заклепки мелкая фасовка, 50 шт., 4.0 х 8 мм 23738		шт	65.00	1.000	65.00	
Заклепки, 3,2 х 6 мм, 50 шт. 23716		шт	1.00	250.000	250.00	
Заклепки, 3,2 х 6 мм, 50 шт. 23716		шт	55.00	1.000	55.00	
Заклепки, 3,2 х 8 мм, 50 шт. 23718		шт	55.00	3.000	165.00	
Заклепки, 4,0 х 12 мм, 50 шт.// MATRIX		шт	80.00	2.000	160.00	
Заклепки, 4,8 х 8 мм,/ 10мм 50 шт. 23760д		шт	80.00	4.000	320.00	
Заклепки, 4,8 х 8 мм,/ 10мм 50 шт. 23760д		шт	90.00	5.000	450.00	
Заклепочник  2,4 - 4,8 мм (240 мм) 320005Н /32001		шт	410.00	1.000	410.00	
Зенкер конический, легированная сталь, хвостовик под биту, 13 мм./16мм 36445 /36446		шт	230.00	1.000	230.00	
Зубило пикообразное SDS PLUS 14х250 мм 32751М		шт	195.00	2.000	390.00	
Канат полипропиленовый 24-х прядный с сердечником  8 мм х 20 м, р/н= 380 кгс 68402		шт	300.00	2.000	600.00	
Канат полипропиленовый 24-х прядный с сердечником 10 мм х 20 м, р/н= 500 кгс 68403		шт	535.00	2.000	1'070.00	
Карабин пружинный,усиленный 8мм 31478		шт	65.00	1.000	65.00	
Каска строительная, оранжевая 12201		шт	220.00	1.000	220.00	
Кельма отделочная ,инструм.сталь ,дерев.ручка 180мм 04888М		шт	100.00	3.000	300.00	
Кельма угловая наружная 60 х 60 х 80 мм 05918		шт	135.00	2.000	270.00	
Кельма штукатура КШ деревянная ручка 175мм/190 мм 05877/05878		шт	170.00	1.000	170.00	
Кисть плоская Fly, Standard, натуральная щетина, 25мм 02-025		шт	30.00	1.000	30.00	
Кисть флейц. толщ. 11 мм,70мм  70% ПЭT/30% натур. щетина, ширина 70 мм 30-0234		шт	140.00	4.000	560.00	
Кисть флейц., толщ. 12 мм , 40мм70% ПБT/30% светл.натур. щетина, ширина 40 мм 30-0122		шт	85.00	6.000	510.00	
Кисть флейц., толщ. 12 мм,70мм  70% ПБT/30% чёрн.натур. щетина,ширина 70 мм 30-0164		шт	190.00	3.000	570.00	
Кисть флейц.. 12 мм, 70мм70% ПБT/30% светл.натур. щетина,  ширина 70 мм 30-0124		шт	150.00	7.000	1'050.00	
Кисть флейц.олщ. 12 мм, 50мм 70% ПБT/30% чёрн.натур. щетина,  ширина 50 мм 30-0163		шт	130.00	2.000	260.00	
Кисть флейц.щ. 12 мм,50мм 70% ПБT/30% светл.натур. щетина, ширина 50 мм 30-0123		шт	115.00	4.000	460.00	
Ключ балонный телескопический 1/2"  17 х 19 мм 62750		шт	850.00	1.000	850.00	
Ключ для патрона T-образный 10 мм 37855		шт	60.00	2.000	120.00	
Ключ для патрона, T-образный 13 мм 37816М/103813/37858		шт	75.00	1.000	75.00	
Ключ для патрона, T-образный 13 мм 37818		шт	70.00	6.000	420.00	
Ключ комбинированный "Стандарт"  9 мм 63109		шт	30.00	2.000	60.00	
Ключ комбинированный "Стандарт"  9 мм 63109		шт	40.00	6.000	240.00	
Ключ комбинированный трещоточный, 13мм 63463		шт	455.00	1.000	455.00	
Ключ разводной ,антискользящее покрытие рукоятки  200 мм 70107 /70120		шт	400.00	1.000	400.00	
Ключ разводной ,антискользящее покрытие рукоятки  250 мм 70108 / 70125		шт	480.00	1.000	480.00	
Ключ разводной ,антискользящее покрытие рукоятки  250 мм 70108 / 70125		шт	550.00	3.000	1'650.00	
Ключ разводной ,антискользящее покрытие рукоятки 150мм 70106 / 655024		шт	305.00	2.000	610.00	
Ключ свечной с Т-образной ручкой 21 мм 63745		шт	245.00	1.000	245.00	
Ключ торцевой трубчатый двухсторонний  17 х 19 мм 63732		шт	105.00	1.000	105.00	
Ключ трубный газовый 90гр инстр.сталь 300мм 70361		шт	845.00	1.000	845.00	
Ключ универсальный 9-22мм 63771		шт	380.00	1.000	380.00	
Ключ шестигранный  4 мм 64064		шт	10.00	3.000	30.00	
Ключ шестигранный  5 мм 64065		шт	20.00	7.000	140.00	
Ключ шестигранный  6 мм 64066		шт	25.00	4.000	100.00	
Ключ шестигранный 12 мм 64072		шт	110.00	4.000	440.00	
Ключ шестигранный 12 мм 64072		шт	130.00	1.000	130.00	
Ключ шестигранный 14 мм 64074		шт	165.00	2.000	330.00	
Ключи "Hex", набор 9 шт. (H1,5-H10) 64201м		шт	310.00	2.000	620.00	
Ключи "звездочки" 8 шт. Т9-Т40 складные /на кольце 64015 / 64006		шт	265.00	1.000	265.00	
Ключи "звездочки" CrV 8 шт. Т5-Т20, в пластиковом держателе 64001		шт	210.00	2.000	420.00	
Ключи шестигранные короткие 9шт (1,5-10мм) в коробке 64185		шт	435.00	1.000	435.00	
Ключи шестигранные на кольце 10 шт. ( 2-14 мм ) 64173		шт	330.00	3.000	990.00	
Ключи шестигранные на кольце 8 шт. ( 1,5-6 мм )  /(2-10мм.) 64171 /64172		шт	80.00	1.000	80.00	
Ключи шестигранные на кольце 8 шт. ( 1,5-6 мм )  /(2-10мм.) 64171 /64172		шт	125.00	1.000	125.00	
Коронка кольцевая по бетону, хвостовик 100 мм в сборе(упак-двойной блистер) 73 мм 33446		шт	1'125.00	1.000	1'125.00	
Коронка кольцевая по кафелю карбидная, глубина пропила 25 мм, 67 мм 16574 /16504		шт	465.00	1.000	465.00	
Корщетка чашечная ,гайка М14 стальная  витая проволока 100мм./150мм 39043 /39045		шт	35.00	2.000	70.00	
Корщетка чашечная ,гайка М14 стальная  витая проволока 100мм./150мм 39043 /39045		шт	665.00	1.000	665.00	
Корщетка чашечная, гайка М14, стальная латунированная волнистая проволока 150 мм 39040		шт	565.00	1.000	565.00	
Корщетки набор 3 шт., сталь/нейлон/латунь 38453		шт	140.00	4.000	560.00	
Корщетки нейлоновые , набор 3шт. 36905		шт	110.00	2.000	220.00	
Кран-букс червячная (г.Сумы) 74491		шт	100.00	1.000	100.00	
Краска разметочная  50 гр. синяя 04695		шт	65.00	1.000	65.00	
Крепежная деталь к ремешку-хомуту Профи, JST 60436-0		шт	8.00	98.000	784.00	
Круг для зачистки швов 125* 6,0*22 А 24 R BF тип 1 Луга 39532		шт	100.00	1.000	100.00	
Круг лепестковый торцевой GREATFLEX (72 лепестка): 125 х 22,2 мм, Р120 71-125120		шт	105.00	1.000	105.00	
Круг лепестковый торцевой GREATFLEX (72 лепестка): 125 х 22,2 мм, Р36/40 71-12540/71-12536		шт	110.00	4.000	440.00	
Круг отрезной алмазный, сегментный (сухая резка), 125 мм 37463		шт	330.00	2.000	660.00	
Круг отрезной по камню "Пермь", посадочный диаметр 22 мм, 230 х 2,5 х 22 мм 37095		шт	105.00	2.000	210.00	
Круг отрезной по камню, Златоуст 150 х 2,0 х 22 мм 37052		шт	110.00	4.000	440.00	
Круг отрезной по металлу MOS, посад. диаметр 22,2 мм, 115х1,0 мм/115х1,2 мм 37002М/37001М		шт	30.00	23.000	690.00	
Круг отрезной по металлу MOS, посадочный диаметр 22,2 мм, 125х1,2 мм 37005м		шт	35.00	11.000	385.00	
Круг отрезной по металлу MOS, посадочный диаметр 22,2 мм, 125х1,6/150*1.6 мм 37006м/37010М		шт	40.00	23.000	920.00	
Круг отрезной по металлу MOS, посадочный диаметр 22,2 мм, 125х1,6/150*1.6 мм 37006м/37010М		шт	45.00	4.000	180.00	
